n_wires,seed,max_probability_error,max_conditional_state_error,photographiqml_probability_sum_error,mentpy_probability_sum_error
1,0,4.440892098500626e-16,2.2582615571362553e-16,4.440892098500626e-16,2.220446049250313e-16
1,1,7.771561172376096e-16,1.1620202809265456e-16,5.551115123125783e-16,2.220446049250313e-16
1,2,5.551115123125783e-16,2.3012791781354123e-16,8.881784197001252e-16,2.220446049250313e-16
1,3,4.440892098500626e-16,2.262685104704883e-16,6.661338147750939e-16,2.220446049250313e-16
2,0,1.6653345369377348e-15,3.320603061595825e-16,2.1094237467877974e-15,0.0
2,1,7.771561172376096e-16,4.1620845484984343e-16,1.5543122344752192e-15,1.1102230246251565e-16
2,2,1.4432899320127035e-15,3.8759748922454503e-16,2.220446049250313e-15,4.440892098500626e-16
2,3,8.881784197001252e-16,8.04740779769074e-16,1.3322676295501878e-15,2.220446049250313e-16
3,0,1.5543122344752192e-15,6.826507454643201e-16,2.4424906541753444e-15,0.0
3,1,1.6653345369377348e-15,7.493204095270087e-16,2.220446049250313e-15,1.1102230246251565e-16
3,2,1.3322676295501878e-15,1.3313344677723352e-15,1.7763568394002505e-15,1.1102230246251565e-16
3,3,1.4432899320127035e-15,1.0380700960924395e-15,1.4432899320127035e-15,2.220446049250313e-16
