level,n_wires,n_layers,one_column,restrict_trainable,connections,expected_nodes,actual_nodes,expected_edges,actual_edges,expected_trainable,actual_trainable,node_error,edge_error,trainable_error,input_nodes_ok,output_nodes_ok,paper_depth,paper_depth_ok,dag_acyclic,order_respects_dag
triangle,1,,,,None,5,5,4,4,4,4,0,0,0,True,True,,,,
triangle,1,,,,(),5,5,4,4,4,4,0,0,0,True,True,,,,
triangle,1,,,,(),5,5,4,4,4,4,0,0,0,True,True,,,,
triangle,2,,,,None,10,10,10,10,8,8,0,0,0,True,True,,,,
triangle,2,,,,(),10,10,8,8,8,8,0,0,0,True,True,,,,
triangle,2,,,,"(1,)",10,10,10,10,8,8,0,0,0,True,True,,,,
triangle,3,,,,None,15,15,16,16,12,12,0,0,0,True,True,,,,
triangle,3,,,,(),15,15,12,12,12,12,0,0,0,True,True,,,,
triangle,3,,,,"(1,)",15,15,14,14,12,12,0,0,0,True,True,,,,
triangle,4,,,,None,20,20,22,22,16,16,0,0,0,True,True,,,,
triangle,4,,,,(),20,20,16,16,16,16,0,0,0,True,True,,,,
triangle,4,,,,"(1,)",20,20,18,18,16,16,0,0,0,True,True,,,,
muta,1,1,False,False,,5,5,4,4,4,4,0,0,0,True,True,1,True,True,True
muta,1,1,False,True,,5,5,4,4,3,3,0,0,0,True,True,1,True,True,True
muta,1,1,True,False,,5,5,4,4,4,4,0,0,0,True,True,1,True,True,True
muta,1,1,True,True,,5,5,4,4,3,3,0,0,0,True,True,1,True,True,True
muta,1,2,False,False,,9,9,8,8,8,8,0,0,0,True,True,2,True,True,True
muta,1,2,False,True,,9,9,8,8,6,6,0,0,0,True,True,2,True,True,True
muta,1,2,True,False,,9,9,8,8,8,8,0,0,0,True,True,2,True,True,True
muta,1,2,True,True,,9,9,8,8,6,6,0,0,0,True,True,2,True,True,True
muta,1,3,False,False,,13,13,12,12,12,12,0,0,0,True,True,3,True,True,True
muta,1,3,False,True,,13,13,12,12,9,9,0,0,0,True,True,3,True,True,True
muta,1,3,True,False,,13,13,12,12,12,12,0,0,0,True,True,3,True,True,True
muta,1,3,True,True,,13,13,12,12,9,9,0,0,0,True,True,3,True,True,True
muta,2,1,False,False,,18,18,20,20,16,16,0,0,0,True,True,2,True,True,True
muta,2,1,False,True,,18,18,20,20,12,12,0,0,0,True,True,2,True,True,True
muta,2,1,True,False,,10,10,10,10,8,8,0,0,0,True,True,1,True,True,True
muta,2,1,True,True,,10,10,10,10,6,6,0,0,0,True,True,1,True,True,True
muta,2,2,False,False,,34,34,40,40,32,32,0,0,0,True,True,4,True,True,True
muta,2,2,False,True,,34,34,40,40,24,24,0,0,0,True,True,4,True,True,True
muta,2,2,True,False,,18,18,20,20,16,16,0,0,0,True,True,2,True,True,True
muta,2,2,True,True,,18,18,20,20,12,12,0,0,0,True,True,2,True,True,True
muta,2,3,False,False,,50,50,60,60,48,48,0,0,0,True,True,6,True,True,True
muta,2,3,False,True,,50,50,60,60,36,36,0,0,0,True,True,6,True,True,True
muta,2,3,True,False,,26,26,30,30,24,24,0,0,0,True,True,3,True,True,True
muta,2,3,True,True,,26,26,30,30,18,18,0,0,0,True,True,3,True,True,True
muta,3,1,False,False,,39,39,48,48,36,36,0,0,0,True,True,3,True,True,True
muta,3,1,False,True,,39,39,48,48,27,27,0,0,0,True,True,3,True,True,True
muta,3,1,True,False,,15,15,16,16,12,12,0,0,0,True,True,1,True,True,True
muta,3,1,True,True,,15,15,16,16,9,9,0,0,0,True,True,1,True,True,True
muta,3,2,False,False,,75,75,96,96,72,72,0,0,0,True,True,6,True,True,True
muta,3,2,False,True,,75,75,96,96,54,54,0,0,0,True,True,6,True,True,True
muta,3,2,True,False,,27,27,32,32,24,24,0,0,0,True,True,2,True,True,True
muta,3,2,True,True,,27,27,32,32,18,18,0,0,0,True,True,2,True,True,True
muta,3,3,False,False,,111,111,144,144,108,108,0,0,0,True,True,9,True,True,True
muta,3,3,False,True,,111,111,144,144,81,81,0,0,0,True,True,9,True,True,True
muta,3,3,True,False,,39,39,48,48,36,36,0,0,0,True,True,3,True,True,True
muta,3,3,True,True,,39,39,48,48,27,27,0,0,0,True,True,3,True,True,True
