seed,final_train_infidelity,final_test_infidelity,seconds,max_mentpy_checkpoint_error
0,3.1932901882747444e-06,3.673408614290885e-06,11.567623599999934,8.326673944945124e-16
1,5.325606384776194e-07,8.153700403745745e-07,7.7826505999983056,1.1102231530432476e-15
2,2.6005476405632777e-07,3.4758494193987133e-07,7.4696100000001024,7.771913109734291e-16
3,5.840311707583368e-07,7.151160453799932e-07,8.777071500000602,1.221338929128251e-15
4,3.5484101887917063e-06,3.6417521815934606e-06,7.255084599994007,1.1102777357599403e-15
5,3.986992315185844e-06,3.505182386454031e-06,6.862285399998655,1.110244253105165e-15
6,1.4645124646328611e-06,1.7794992080988337e-06,7.766558200004511,9.994164441410668e-16
7,1.4242052480684109e-06,1.5590828760236874e-06,7.421281699993415,6.661928138296978e-16
8,1.7402510935626836e-06,1.6423664240816649e-06,7.619637399999192,1.554731179522997e-15
9,2.5882580811931177e-06,3.893238798458043e-06,7.415603599998576,8.329200555463797e-16
10,3.8024126300939542e-06,3.716452064650433e-06,8.436365399997158,8.326970421714611e-16
11,3.95204863146148e-06,4.4845971232110315e-06,7.909012000003713,1.33248915257795e-15
12,3.2733217005809223e-06,2.785220123979748e-06,8.44726979999541,8.882484257822586e-16
13,6.280173805439659e-07,6.456616304939544e-07,8.069835299997067,1.1102234322532438e-15
14,2.755629310180474e-06,2.956523240671416e-06,7.609549499997229,7.77156135403231e-16
15,7.719312082654639e-06,7.176079484194631e-06,7.5194246000028215,1.554755426909374e-15
16,9.518469546998531e-07,1.1477965838890825e-06,7.933635200002755,9.992020555442097e-16
17,5.926296472447135e-07,1.040782256822581e-06,7.975828000002366,1.3322696647765697e-15
18,5.935602738205148e-07,7.277465767785429e-07,6.630726000003051,1.7765393741930395e-15
19,3.3905400673162056e-05,3.720815081020845e-05,7.005720100001781,1.332832962897977e-15
