train_size,n_layers,init_scale,median_test_infidelity,failure_rate,n_seeds,final_test_infidelities
2,1,0.1,0.03572009833089068,0.16666666666666666,6,"[0.38318263441851697, 0.08133674045864148, 0.0011723591674791534, 0.024238558378339436, 0.004153442518711081, 0.04720163828344193]"
2,1,0.5,0.004436438099471529,0.16666666666666666,6,"[0.7222381796729505, 0.009288047456063153, 0.0021474131963418186, 0.00023668643773444575, 0.006430074857156853, 0.002442801341786205]"
2,1,1.5,0.012909956796905098,0.16666666666666666,6,"[0.0016130909565191809, 0.019103552696772108, 0.0012663099518923637, 0.6392500526866389, 0.006716360897038087, 0.16298029967486094]"
2,2,0.1,0.018830996908287156,0.0,6,"[0.029950535796680833, 0.0018453556289982354, 0.0012012827932315062, 0.12400297633651425, 0.00771145801989348, 0.11738832155091405]"
2,2,0.5,0.005731140442682969,0.3333333333333333,6,"[0.21138259570809392, 0.005442634411715663, 0.6491169574145279, 0.004952308094460345, 0.005980498163001169, 0.00548178272236477]"
2,2,1.5,0.007006546694876548,0.3333333333333333,6,"[0.002164501500358962, 0.299000237625378, 0.8994217560280989, 0.011848591889394133, 0.0017526671242699132, 0.0008109043876539657]"
4,1,0.1,0.0021524027511315436,0.0,6,"[0.004690911561090583, 0.0008467170614259167, 0.0007129604962865521, 0.014315877934131804, 0.0019385573517644028, 0.0023662481504986843]"
4,1,0.5,0.0011544060712675441,0.0,6,"[0.001971450120991869, 0.0006275084375104711, 0.0016813037050246171, 0.00041379207307767896, 0.0004134942882610959, 0.0027386520789630664]"
4,1,1.5,0.005775248032429736,0.0,6,"[0.007322134966932903, 0.00042156626757605675, 0.034075289893234495, 0.041944534686841894, 0.0042283610979265696, 0.0009903327090787784]"
4,2,0.1,0.0008447575462485202,0.0,6,"[0.0013811845534407174, 0.00011505848169901522, 0.00040231440389215667, 0.0011174579013526476, 0.0005720571911443928, 0.001611651431927541]"
4,2,0.5,0.0011015916868537534,0.0,6,"[0.03672560760976962, 0.0004887152828915164, 0.0008141190074161253, 0.0009138663861132379, 0.001289316987594269, 0.002418158845893914]"
4,2,1.5,0.0018748494886614009,0.0,6,"[0.0011478245101388396, 0.001917273359218541, 0.010574977430968358, 0.0018324256181042609, 0.008742437577603623, 0.0003163708267189813]"
8,1,0.1,0.0009791485432005809,0.0,6,"[0.0013913909703199279, 0.0014214487028704204, 0.00035603758459179513, 0.0005669061160812339, 0.003306264341700782, 0.0004826724071813615]"
8,1,0.5,0.0012591794933874967,0.0,6,"[0.002169176651842686, 0.0007278648137120092, 0.0012717885185083988, 0.0005572798953429325, 0.005379760336343131, 0.0012465704682665946]"
8,1,1.5,0.0045513323992878996,0.0,6,"[0.0052529860392042105, 0.002062269416910567, 0.006424061405655324, 0.033314104451982574, 0.0038496787593715887, 0.0013984677592615569]"
8,2,0.1,0.00046429991495167133,0.0,6,"[0.0023099999166552587, 0.0003392971928953825, 0.0005534395174308093, 0.0007005526113129656, 0.00037516031247253334, 0.00018974408515182173]"
8,2,0.5,0.000998196211777047,0.0,6,"[0.01669416413276148, 0.00011705781154347505, 0.0008813575425307141, 0.000487333889219177, 0.0011150348810233801, 0.002553259690617149]"
8,2,1.5,0.0008441395950831709,0.0,6,"[0.0005235012201089129, 0.0008627572417388985, 0.008398935331148771, 0.0006836830040560793, 0.005406890103443085, 0.0008255219484274434]"
