dataset,seed,accuracy_muta,accuracy_rbf_svm,accuracy_logistic
circles,0,1.0,1.0,0.4166666666666667
circles,1,1.0,1.0,0.4444444444444444
circles,2,0.9444444444444444,1.0,0.5
circles,3,0.9722222222222222,1.0,0.4444444444444444
circles,4,1.0,1.0,0.4444444444444444
circles,5,1.0,1.0,0.3888888888888889
circles,6,0.9722222222222222,1.0,0.3888888888888889
circles,7,0.9166666666666666,1.0,0.3611111111111111
moons,0,0.7777777777777778,0.9722222222222222,0.8888888888888888
moons,1,0.6666666666666666,1.0,0.8888888888888888
moons,2,0.6111111111111112,0.9722222222222222,0.9444444444444444
moons,3,0.6388888888888888,0.9722222222222222,0.9166666666666666
moons,4,0.6666666666666666,1.0,0.8333333333333334
moons,5,0.6388888888888888,1.0,0.8055555555555556
moons,6,0.6944444444444444,0.9722222222222222,0.8055555555555556
moons,7,0.7777777777777778,1.0,0.8333333333333334
blobs,0,0.5555555555555556,0.8333333333333334,0.8055555555555556
blobs,1,0.5555555555555556,1.0,1.0
blobs,2,0.5,1.0,1.0
blobs,3,0.5277777777777778,1.0,1.0
blobs,4,0.5833333333333334,0.9166666666666666,0.9166666666666666
blobs,5,0.6944444444444444,0.6666666666666666,0.6944444444444444
blobs,6,0.6666666666666666,1.0,1.0
blobs,7,0.4444444444444444,1.0,1.0
