axis,value,median_accuracy,accuracies,nested_demonstration,seed,selected_C,validation_scores,test_accuracy
n_samples,60,0.6666666666666666,"[0.6666666666666666, 0.6111111111111112, 0.6666666666666666, 0.6666666666666666]",,,,,
n_samples,120,0.6527777777777777,"[0.7777777777777778, 0.6666666666666666, 0.6111111111111112, 0.6388888888888888]",,,,,
n_samples,240,0.7013888888888888,"[0.7083333333333334, 0.6388888888888888, 0.6944444444444444, 0.8472222222222222]",,,,,
noise,0.05,0.6805555555555556,"[0.8055555555555556, 0.6111111111111112, 0.6944444444444444, 0.6666666666666666]",,,,,
noise,0.15,0.6388888888888888,"[0.7777777777777778, 0.6388888888888888, 0.6111111111111112, 0.6388888888888888]",,,,,
noise,0.3,0.5972222222222222,"[0.6388888888888888, 0.5555555555555556, 0.6944444444444444, 0.5277777777777778]",,,,,
C,0.1,0.625,"[0.75, 0.5833333333333334, 0.6111111111111112, 0.6388888888888888]",,,,,
C,1.0,0.6527777777777777,"[0.7777777777777778, 0.6666666666666666, 0.6111111111111112, 0.6388888888888888]",,,,,
C,10.0,0.6527777777777777,"[0.8055555555555556, 0.6111111111111112, 0.6388888888888888, 0.6666666666666666]",,,,,
coordinate_scale,0.5,0.6666666666666666,"[0.7222222222222222, 0.5833333333333334, 0.6944444444444444, 0.6388888888888888]",,,,,
coordinate_scale,1.0,0.6527777777777777,"[0.7777777777777778, 0.6666666666666666, 0.6111111111111112, 0.6388888888888888]",,,,,
coordinate_scale,2.0,0.6944444444444444,"[0.6944444444444444, 0.6944444444444444, 0.7777777777777778, 0.6388888888888888]",,,,,
,,,,True,0,10.0,"{0.1: 0.5666666666666667, 1.0: 0.6333333333333333, 10.0: 0.7}",0.7333333333333333
,,,,True,1,0.1,"{0.1: 0.7, 1.0: 0.6666666666666666, 10.0: 0.7}",0.8
,,,,True,2,0.1,"{0.1: 0.8, 1.0: 0.8, 10.0: 0.8}",0.6333333333333333
,,,,True,3,10.0,"{0.1: 0.6333333333333333, 1.0: 0.6666666666666666, 10.0: 0.7}",0.7
,,,,True,4,10.0,"{0.1: 0.7, 1.0: 0.7333333333333333, 10.0: 0.7666666666666667}",0.7666666666666667
,,,,True,5,0.1,"{0.1: 0.6666666666666666, 1.0: 0.6666666666666666, 10.0: 0.6666666666666666}",0.6
