case,n_wires,seed,n_branches,probability_sum_error,none_convention_consistent
random,1,0,2,8.881784197001252e-16,True
random,1,1,2,9.992007221626409e-16,True
random,1,2,2,3.3306690738754696e-16,True
random,1,3,2,5.551115123125783e-16,True
random,1,4,2,1.1102230246251565e-16,True
random,1,5,2,2.220446049250313e-16,True
random,2,0,2,6.661338147750939e-16,True
random,2,1,2,8.881784197001252e-16,True
random,2,2,2,1.887379141862766e-15,True
random,2,3,2,1.4432899320127035e-15,True
random,2,4,2,1.5543122344752192e-15,True
random,2,5,2,1.887379141862766e-15,True
random,3,0,2,2.6645352591003757e-15,True
random,3,1,2,1.3322676295501878e-15,True
random,3,2,2,1.1102230246251565e-15,True
random,3,3,2,1.5543122344752192e-15,True
random,3,4,2,2.4424906541753444e-15,True
random,3,5,2,3.219646771412954e-15,True
engineered_zero_branch,1,,2,6.661338147750939e-16,True
