trial,theta,phi,lam,c0,full_sequence_error,c0_error,c1_error,c2_error,c3_error
0,1.7211113228493726,-2.8929454751927572,-5.768296820021047,-6.07549291374904,4.331670865058037e-16,4.726604209672303e-16,3.8459253727671276e-16,4.775249788392736e-16,2.3551386880256624e-16
1,3.9366699282395725,5.1868395572156185,1.3400246790400834,2.883938840045806,1.068950062446767e-15,6.329245045284193e-16,5.551115123125783e-16,5.661048867003676e-16,5.661048867003676e-16
2,0.5482078108027597,5.467281321404631,3.9691328209537264,-6.2487722991140195,6.622191845129327e-16,4.711299460771189e-16,4.871083751574258e-16,3.925231146709438e-16,6.568167990716596e-16
3,4.491274598756329,-5.861136520594652,2.8859354534447856,-4.075831678192565,5.79553433516819e-16,3.510833468576701e-16,5.087681048627601e-16,4.855242786854203e-16,4.980559976921029e-16
4,4.563840937572246,0.5210170597736594,-2.5168946131565613,-0.9715410316561952,7.28021923224409e-16,4.965068306494546e-16,7.021666937153402e-16,3.510833468576701e-16,4.710277376051325e-16
5,-5.927309823888925,-4.7213955935191905,2.14412963089827,1.8496379529885356,5.667848928154234e-16,5.661048867003676e-16,4.855242786854203e-16,5.661048867003676e-16,5.768888059150692e-16
6,1.4499720742525852,-1.4617509639138575,6.248124326268952,6.042355071543055,6.888752704931532e-16,4.746933783963145e-16,4.965068306494546e-16,6.661338147750939e-16,4.965068306494546e-16
7,2.331589341508087,1.8907270279496355,2.3680914574187213,-1.3958545535938516,4.2998752849492583e-16,4.440892098500626e-16,4.644396126208125e-16,5.661048867003676e-16,2.9373740229761033e-16
8,-4.585512556363332,2.783304569638096,0.31861181290594853,-2.3845709188118507,4.902612130890298e-16,4.965068306494546e-16,6.181460191301304e-16,3.3537189618722464e-16,3.3537189618722464e-16
9,-0.17799813053914804,4.89444847621367,5.4543516842657525,-1.7869982612958664,3.5868108437031825e-16,5.661048867003676e-16,4.746933783963145e-16,5.661048867003676e-16,4.996003610813204e-16
10,0.8988703629325538,-2.238455249501186,1.1850091284346522,-2.0368676127046514,8.779277668144297e-16,5.661048867003676e-16,5.266250202865052e-16,5.266250202865052e-16,5.661048867003676e-16
11,-1.3619558069177913,4.90433214857109,-3.428638798973178,1.5480153150494953,6.004449063730082e-16,5.661048867003676e-16,5.661048867003676e-16,5.661048867003676e-16,6.292624226552987e-16
12,-5.227417362430616,4.180129642110211,3.607783734658044,-3.275180172777429,4.406061034464155e-16,6.292624226552987e-16,5.874748045952207e-16,4.965068306494546e-16,3.3537189618722464e-16
13,4.731040374829245,-5.547197675662827,-2.059413754553817,-4.394717830450719,9.379577808175e-16,5.661048867003676e-16,8.527784864785346e-16,5.266250202865052e-16,5.324442579404919e-16
14,-0.6240539236288649,3.7237206024596787,-3.3848498296496716,-5.629466358163057,4.741351840547167e-16,4.965068306494546e-16,4.871083751574258e-16,4.965068306494546e-16,4.726604209672303e-16
15,-1.1994369552613957,-3.7885968180915057,-5.142748901547855,1.009486534646519,6.389813363550566e-16,5.266250202865052e-16,4.440892098500626e-16,5.266250202865052e-16,3.8459253727671276e-16
16,-2.529659001101153,2.1613513801710873,-3.7760002949866065,5.555757200091783,2.9764538874609303e-16,5.266250202865052e-16,4.710277376051325e-16,5.266250202865052e-16,4.644396126208125e-16
17,-1.6950756179440392,-4.957492526034648,1.6224208815828334,5.367782423461774,4.710277376051325e-16,4.965068306494546e-16,4.710277376051325e-16,5.661048867003676e-16,5.087681048627601e-16
18,-0.7492427709240559,5.71255262148231,-0.0013092438139707951,-0.9396048114918027,4.2457866502527573e-16,5.266250202865052e-16,3.510833468576701e-16,5.266250202865052e-16,4.710279622086068e-16
19,1.51064679085672,6.221566174661099,5.641592604240351,-0.5020875872869892,7.764123083730737e-16,4.855242786854203e-16,6.181460191301304e-16,4.712576754941537e-16,6.304854800243424e-16
20,3.238716188154834,-0.032387363688640036,0.36834746854008404,3.5912890314540356,5.710165843342547e-16,4.855242786854203e-16,5.564975606931872e-16,4.710532918022274e-16,4.75098925995612e-16
21,-1.072466226764341,2.946607466075868,2.6532996574016163,5.429422149507589,8.101585801848734e-16,4.965068306494546e-16,4.965068306494546e-16,4.726604209672303e-16,5.147892387644517e-16
22,-4.8388992416875,2.87788883747176,5.371167496541622,5.880133922758125,7.43207042519283e-16,6.329245045284193e-16,3.6821932062951477e-16,3.1646225226420963e-16,6.004449063730082e-16
