case,production,independent,error
random_0,0.7622838240643557,0.7622838240643557,0.0
random_1,0.7505309412563279,0.7505309412563279,0.0
random_2,0.2111870463783342,0.2111870463783342,0.0
random_3,0.3768456264380958,0.3768456264380958,0.0
random_4,0.7459382658926423,0.7459382658926423,0.0
random_5,0.9382749912193159,0.938274991219316,1.1102230246251565e-16
random_6,0.8568542145551824,0.8568542145551824,0.0
random_7,0.23514506217384945,0.23514506217384948,2.7755575615628914e-17
random_8,0.5730453495485998,0.5730453495485998,0.0
random_9,0.8556249149723821,0.8556249149723821,0.0
random_10,0.8961293633534185,0.8961293633534185,0.0
random_11,0.752014098785804,0.7520140987858039,1.1102230246251565e-16
random_12,0.386295328227111,0.38629532822711105,5.551115123125783e-17
random_13,0.30687436030936355,0.3068743603093635,5.551115123125783e-17
random_14,0.41350878160780064,0.41350878160780064,0.0
random_15,0.5382309904730227,0.5382309904730227,0.0
random_16,0.6509203142890214,0.6509203142890215,1.1102230246251565e-16
random_17,0.4128637773160544,0.4128637773160543,1.1102230246251565e-16
random_18,0.5283299368010475,0.5283299368010475,0.0
random_19,0.7566638028817204,0.7566638028817204,0.0
random_20,0.7318948159846209,0.731894815984621,1.1102230246251565e-16
random_21,0.9332347262893165,0.9332347262893165,0.0
random_22,0.5695154584186177,0.5695154584186176,1.1102230246251565e-16
random_23,0.806194754706445,0.806194754706445,0.0
random_24,0.41619510238309204,0.41619510238309204,0.0
random_25,0.6474654267671136,0.6474654267671135,1.1102230246251565e-16
random_26,0.495822608063275,0.495822608063275,0.0
random_27,0.6589625963240777,0.6589625963240777,0.0
random_28,0.8326586474736396,0.8326586474736396,0.0
random_29,0.30695546686777814,0.30695546686777814,0.0
random_30,0.06328609957928714,0.06328609957928714,0.0
random_31,0.45914488403463893,0.45914488403463893,0.0
random_32,0.402956332032799,0.402956332032799,0.0
random_33,0.6867734790259523,0.6867734790259523,0.0
random_34,0.26861201937522733,0.2686120193752273,5.551115123125783e-17
random_35,0.8510726014147507,0.8510726014147507,0.0
random_36,0.7361258314714707,0.7361258314714707,0.0
random_37,0.39394105217135456,0.39394105217135456,0.0
random_38,0.8666311214961495,0.8666311214961495,0.0
random_39,0.5421908286239584,0.5421908286239585,1.1102230246251565e-16
separable_00,0.0,0.0,0.0
bell_phi_plus,0.9999999999999998,0.9999999999999998,0.0
