n_wires,n_layers,min_eigenvalue,step_convergence,step,error_vs_reference,scaling,n_parameters,rank,condition_number
1,1,9.427598048525161e-17,,,,,,,
2,1,-1.5928824031337045e-16,,,,,,,
2,2,-4.543411725661932e-16,,,,,,,
3,1,-9.224188534965817e-17,,,,,,,
,,,True,0.01,2.2964607286788682e-05,,,,
,,,True,0.001,2.298399608916344e-07,,,,
,,,True,0.0001,2.5933822138901346e-09,,,,
,,,True,1e-05,7.711149430669454e-10,,,,
1,1,,,,,True,4,2,9.174696228344189
2,1,,,,,True,8,5,42.93828311370277
2,2,,,,,True,16,6,6.404553327861212
3,1,,,,,True,12,9,93.54989840188817
