cutoff,mu,nu,fidelity,amplitude_error
48,0,0,1.0000000000000009,4.0587779095266283e-17
48,0,1,0.9999999999999991,1.9710129695907975e-16
48,1,0,1.0000000000000018,4.918754554516266e-16
48,1,1,1.0000000000000018,3.361675273730926e-16
64,0,0,1.0000000000000004,2.3420823082226506e-16
64,0,1,1.0,1.8051739427927202e-16
64,1,0,1.0000000000000018,3.1331207231674005e-16
64,1,1,1.0000000000000009,2.6393968022404677e-16
80,0,0,1.0000000000000004,0.0
80,0,1,0.9999999999999991,1.7682764432419407e-16
80,1,0,1.0000000000000018,1.8931526072313302e-16
80,1,1,0.9999999999999991,2.520469206806342e-16
