shots,max_rb_standard_error,max_empirical_standard_error,coverage_check,seed,label,estimate,se,low,high,covered
4,0.14405697805947484,0.21650635094610965,,,,,,,,
8,0.09798243103994499,0.1767766952966369,,,,,,,,
16,0.06075199202917634,0.12401959270615269,,,,,,,,
32,0.03905781122294218,0.08682074519880027,,,,,,,,
,,,True,0,"(0,)",0.5781483001634362,0.06333002034821689,0.4540214602809311,0.7022751400459413,True
,,,True,1,"(0,)",0.6085799628962285,0.048027277648870735,0.5144464987044419,0.7027134270880151,True
,,,True,2,"(0,)",0.6124119851664697,0.05041521053013027,0.5135981725274144,0.711225797805525,True
,,,True,3,"(0,)",0.5514127630546855,0.045597239740786145,0.4620421731627446,0.6407833529466263,True
,,,True,4,"(0,)",0.5973940955990495,0.059751342846461115,0.48028146361998575,0.7145067275781133,True
,,,True,5,"(0,)",0.5718688383037049,0.05813048744354662,0.4579330829143536,0.6858045936930564,True
,,,True,6,"(0,)",0.5894847473132887,0.054392496094249114,0.48287545496856044,0.696094039658017,True
,,,True,7,"(0,)",0.5468937955167137,0.06376789256712474,0.4219087260851492,0.6718788649482782,True
