dataset,seed,method,selected_C_validation_only,preprocessing_fit_scope,accuracy,balanced_accuracy,macro_f1,roc_auc,confusion_matrix
simple,5,quantum_kernel,0.1,training_only,0.5526315789473685,0.5,0.3559322033898305,0.21288515406162467,"[[21, 0], [17, 0]]"
simple,5,majority,,training_only,0.5526315789473685,0.5,0.3559322033898305,0.5,"[[21, 0], [17, 0]]"
simple,5,linear,,training_only,1.0,1.0,1.0,1.0,"[[21, 0], [0, 17]]"
simple,5,rbf,,training_only,0.9473684210526315,0.9467787114845938,0.9467787114845938,0.9943977591036415,"[[20, 1], [1, 16]]"
simple,5,muta_model,,training_only,0.9473684210526315,0.9411764705882353,0.9460227272727273,0.9943977591036415,"[[21, 0], [2, 15]]"
simple,13,quantum_kernel,1.0,training_only,0.6052631578947368,0.6,0.5983086680761099,0.6,"[[9, 9], [6, 14]]"
simple,13,majority,,training_only,0.5263157894736842,0.5,0.3448275862068966,0.5,"[[0, 18], [0, 20]]"
simple,13,linear,,training_only,1.0,1.0,1.0,1.0,"[[18, 0], [0, 20]]"
simple,13,rbf,,training_only,0.9210526315789473,0.9222222222222223,0.9209979209979211,0.9888888888888888,"[[17, 1], [2, 18]]"
simple,13,muta_model,,training_only,1.0,1.0,1.0,1.0,"[[18, 0], [0, 20]]"
simple,23,quantum_kernel,1.0,training_only,0.631578947368421,0.631578947368421,0.6274509803921569,0.7506925207756232,"[[10, 9], [5, 14]]"
simple,23,majority,,training_only,0.5,0.5,0.3333333333333333,0.5,"[[19, 0], [19, 0]]"
simple,23,linear,,training_only,1.0,1.0,1.0,1.0,"[[19, 0], [0, 19]]"
simple,23,rbf,,training_only,0.9736842105263158,0.9736842105263157,0.9736659736659736,1.0,"[[19, 0], [1, 18]]"
simple,23,muta_model,,training_only,1.0,1.0,1.0,1.0,"[[19, 0], [0, 19]]"
simple,41,quantum_kernel,1.0,training_only,0.6578947368421053,0.6666666666666667,0.6518675123326286,0.7472222222222222,"[[10, 10], [3, 15]]"
simple,41,majority,,training_only,0.5263157894736842,0.5,0.3448275862068966,0.5,"[[20, 0], [18, 0]]"
simple,41,linear,,training_only,0.9473684210526315,0.9444444444444444,0.9467787114845938,1.0,"[[20, 0], [2, 16]]"
simple,41,rbf,,training_only,0.9210526315789473,0.9166666666666667,0.919661733615222,0.9916666666666667,"[[20, 0], [3, 15]]"
simple,41,muta_model,,training_only,0.9210526315789473,0.9194444444444444,0.9205574912891986,0.9833333333333333,"[[19, 1], [2, 16]]"
simple,59,quantum_kernel,1.0,training_only,0.5526315789473685,0.5526315789473684,0.5498257839721254,0.6565096952908587,"[[12, 7], [10, 9]]"
simple,59,majority,,training_only,0.5,0.5,0.3333333333333333,0.5,"[[0, 19], [0, 19]]"
simple,59,linear,,training_only,1.0,1.0,1.0,1.0,"[[19, 0], [0, 19]]"
simple,59,rbf,,training_only,0.9736842105263158,0.9736842105263157,0.9736659736659736,1.0,"[[18, 1], [0, 19]]"
simple,59,muta_model,,training_only,1.0,1.0,1.0,1.0,"[[19, 0], [0, 19]]"
nonlinear,5,quantum_kernel,10.0,training_only,1.0,1.0,1.0,1.0,"[[19, 0], [0, 19]]"
nonlinear,5,majority,,training_only,0.5,0.5,0.3333333333333333,0.5,"[[0, 19], [0, 19]]"
nonlinear,5,linear,,training_only,0.5526315789473685,0.5526315789473684,0.5498257839721254,0.44321329639889195,"[[9, 10], [7, 12]]"
nonlinear,5,rbf,,training_only,1.0,1.0,1.0,1.0,"[[19, 0], [0, 19]]"
nonlinear,5,muta_model,,training_only,0.7105263157894737,0.7105263157894737,0.6933235509904623,0.7091412742382271,"[[9, 10], [1, 18]]"
nonlinear,13,quantum_kernel,10.0,training_only,0.9473684210526315,0.9473684210526316,0.9472222222222222,1.0,"[[19, 0], [2, 17]]"
nonlinear,13,majority,,training_only,0.5,0.5,0.3333333333333333,0.5,"[[0, 19], [0, 19]]"
nonlinear,13,linear,,training_only,0.4473684210526316,0.4473684210526315,0.446985446985447,0.3795013850415513,"[[8, 11], [10, 9]]"
nonlinear,13,rbf,,training_only,1.0,1.0,1.0,1.0,"[[19, 0], [0, 19]]"
nonlinear,13,muta_model,,training_only,0.868421052631579,0.868421052631579,0.8661028893587033,0.8310249307479225,"[[14, 5], [0, 19]]"
nonlinear,23,quantum_kernel,1.0,training_only,0.8947368421052632,0.8947368421052632,0.8935574229691876,0.9750692520775623,"[[19, 0], [4, 15]]"
nonlinear,23,majority,,training_only,0.5,0.5,0.3333333333333333,0.5,"[[0, 19], [0, 19]]"
nonlinear,23,linear,,training_only,0.39473684210526316,0.39473684210526316,0.3943173943173943,0.4293628808864266,"[[8, 11], [12, 7]]"
nonlinear,23,rbf,,training_only,1.0,1.0,1.0,1.0,"[[19, 0], [0, 19]]"
nonlinear,23,muta_model,,training_only,0.7105263157894737,0.7105263157894737,0.6933235509904623,0.7617728531855956,"[[9, 10], [1, 18]]"
nonlinear,41,quantum_kernel,1.0,training_only,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9861495844875346,"[[18, 1], [1, 18]]"
nonlinear,41,majority,,training_only,0.5,0.5,0.3333333333333333,0.5,"[[0, 19], [0, 19]]"
nonlinear,41,linear,,training_only,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.3767313019390582,"[[8, 11], [11, 8]]"
nonlinear,41,rbf,,training_only,1.0,1.0,1.0,1.0,"[[19, 0], [0, 19]]"
nonlinear,41,muta_model,,training_only,0.7894736842105263,0.7894736842105263,0.7797101449275362,0.7590027700831025,"[[11, 8], [0, 19]]"
nonlinear,59,quantum_kernel,10.0,training_only,0.9210526315789473,0.9210526315789473,0.9205574912891986,0.997229916897507,"[[19, 0], [3, 16]]"
nonlinear,59,majority,,training_only,0.5,0.5,0.3333333333333333,0.5,"[[0, 19], [0, 19]]"
nonlinear,59,linear,,training_only,0.39473684210526316,0.39473684210526316,0.3909407665505227,0.37950138504155123,"[[6, 13], [10, 9]]"
nonlinear,59,rbf,,training_only,1.0,1.0,1.0,1.0,"[[19, 0], [0, 19]]"
nonlinear,59,muta_model,,training_only,0.8421052631578947,0.8421052631578947,0.8403361344537814,0.8282548476454294,"[[14, 5], [1, 18]]"
breast_cancer,5,quantum_kernel,10.0,training_only,0.7342657342657343,0.6841719077568134,0.6919501133786847,0.818553459119497,"[[26, 27], [11, 79]]"
breast_cancer,5,majority,,training_only,0.6293706293706294,0.5,0.38626609442060084,0.5,"[[0, 53], [0, 90]]"
breast_cancer,5,linear,,training_only,0.8671328671328671,0.859538784067086,0.858142327572704,0.9467505241090146,"[[44, 9], [10, 80]]"
breast_cancer,5,rbf,,training_only,0.8741258741258742,0.8457023060796646,0.8588815789473685,0.9433962264150944,"[[39, 14], [4, 86]]"
breast_cancer,5,muta_model,,training_only,0.8531468531468531,0.821278825995807,0.8344998622209976,0.9551362683438155,"[[37, 16], [5, 85]]"
breast_cancer,13,quantum_kernel,10.0,training_only,0.7902097902097902,0.7363731656184487,0.7505813953488372,0.8371069182389936,"[[28, 25], [5, 85]]"
breast_cancer,13,majority,,training_only,0.6293706293706294,0.5,0.38626609442060084,0.5,"[[0, 53], [0, 90]]"
breast_cancer,13,linear,,training_only,0.8951048951048951,0.8856394129979036,0.8871349644830308,0.9574423480083858,"[[45, 8], [7, 83]]"
breast_cancer,13,rbf,,training_only,0.9090909090909091,0.888993710691824,0.8995840760546643,0.9421383647798742,"[[43, 10], [3, 87]]"
breast_cancer,13,muta_model,,training_only,0.9020979020979021,0.8834381551362684,0.8923655913978494,0.959538784067086,"[[43, 10], [4, 86]]"
breast_cancer,23,quantum_kernel,10.0,training_only,0.7552447552447552,0.7241090146750524,0.7296494355317885,0.8700209643605871,"[[32, 21], [14, 76]]"
breast_cancer,23,majority,,training_only,0.6293706293706294,0.5,0.38626609442060084,0.5,"[[0, 53], [0, 90]]"
breast_cancer,23,linear,,training_only,0.9230769230769231,0.900104821802935,0.9141984399716359,0.9771488469601678,"[[43, 10], [1, 89]]"
breast_cancer,23,rbf,,training_only,0.8951048951048951,0.8701257861635221,0.8829978726885943,0.9735849056603774,"[[41, 12], [3, 87]]"
breast_cancer,23,muta_model,,training_only,0.9090909090909091,0.8812368972746332,0.8975475337558556,0.9830188679245284,"[[41, 12], [1, 89]]"
breast_cancer,41,quantum_kernel,1.0,training_only,0.7342657342657343,0.6647798742138364,0.6702669902912621,0.7823899371069183,"[[21, 32], [6, 84]]"
breast_cancer,41,majority,,training_only,0.6293706293706294,0.5,0.38626609442060084,0.5,"[[0, 53], [0, 90]]"
breast_cancer,41,linear,,training_only,0.9090909090909091,0.8928721174004193,0.9005084292213006,0.9480083857442348,"[[44, 9], [4, 86]]"
breast_cancer,41,rbf,,training_only,0.9090909090909091,0.8928721174004193,0.9005084292213006,0.9364779874213837,"[[44, 9], [4, 86]]"
breast_cancer,41,muta_model,,training_only,0.9020979020979021,0.8795597484276729,0.891337386018237,0.9259958071278827,"[[42, 11], [3, 87]]"
breast_cancer,59,quantum_kernel,1.0,training_only,0.7342657342657343,0.7074423480083858,0.710464620630861,0.8083857442348008,"[[32, 21], [17, 73]]"
breast_cancer,59,majority,,training_only,0.6293706293706294,0.5,0.38626609442060084,0.5,"[[0, 53], [0, 90]]"
breast_cancer,59,linear,,training_only,0.8601398601398601,0.8384696016771489,0.8462365591397849,0.9320754716981132,"[[40, 13], [7, 83]]"
breast_cancer,59,rbf,,training_only,0.8811188811188811,0.8667714884696017,0.8710276407236458,0.9287211740041929,"[[43, 10], [7, 83]]"
breast_cancer,59,muta_model,,training_only,0.8741258741258742,0.8534591194968554,0.8616129032258064,0.9270440251572327,"[[41, 12], [6, 84]]"
