seed,dataset_size,parameter_scale,regularization_C,feature_map,gram_symmetry_error,minimum_eigenvalue,condition_number,kernel_target_alignment,effective_rank,test_accuracy,axis_support
7,40,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-7.218380418323609e-15,382755345513.35803,0.02233164506817178,1.2167040628252932,0.5,supported
7,40,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-7.218380418323609e-15,382755345513.35803,0.02233164506817178,1.2167040628252932,0.5,supported
7,40,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-7.218380418323609e-15,382755345513.35803,0.02233164506817178,1.2167040628252932,0.5,supported
7,40,1.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.0795070298552309e-14,369922763344.02924,0.02899664182895451,1.3795797883638332,0.5,supported
7,40,1.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.0795070298552309e-14,369922763344.02924,0.02899664182895451,1.3795797883638332,0.6111111111111112,supported
7,40,1.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.0795070298552309e-14,369922763344.02924,0.02899664182895451,1.3795797883638332,0.8518518518518519,supported
7,40,2.0,0.1,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-7.763911023373091e-15,366855505959.7042,0.028806402979643233,1.4141754687592523,0.5,supported
7,40,2.0,1.0,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-7.763911023373091e-15,366855505959.7042,0.028806402979643233,1.4141754687592523,0.42592592592592593,supported
7,40,2.0,10.0,fixed Eq.5 MuTAKernel,6.661338147750939e-16,-7.763911023373091e-15,366855505959.7042,0.028806402979643233,1.4141754687592523,0.6111111111111112,supported
7,80,0.5,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.6253579492259277e-14,761065986089.1127,0.007087673432478703,1.2433055508908895,0.5,supported
7,80,0.5,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.6253579492259277e-14,761065986089.1127,0.007087673432478703,1.2433055508908895,0.5,supported
7,80,0.5,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-1.6253579492259277e-14,761065986089.1127,0.007087673432478703,1.2433055508908895,0.46296296296296297,supported
7,80,1.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.3962884049546035e-14,729755122156.0864,0.009473544970964053,1.4351830478748788,0.5,supported
7,80,1.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.3962884049546035e-14,729755122156.0864,0.009473544970964053,1.4351830478748788,0.8148148148148148,supported
7,80,1.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.3962884049546035e-14,729755122156.0864,0.009473544970964053,1.4351830478748788,0.6851851851851852,supported
7,80,2.0,0.1,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.8639680746446125e-14,727327596285.3412,0.0240041753253949,1.4478842921486024,0.5,supported
7,80,2.0,1.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.8639680746446125e-14,727327596285.3412,0.0240041753253949,1.4478842921486024,0.6481481481481481,supported
7,80,2.0,10.0,fixed Eq.5 MuTAKernel,4.440892098500626e-16,-2.8639680746446125e-14,727327596285.3412,0.0240041753253949,1.4478842921486024,0.6111111111111112,supported
