n_wires,depth,seed,n_parameters,qfi_rank,qfi_min_eigenvalue,qfi_max_eigenvalue,concurrence,gradient_norm,initial_infidelity,final_infidelity,optimization_success
1,1,2,4,2,-1.9456395756916185e-16,1.962184417700735,,0.2388873992173047,0.7078900303929438,6.537459462663264e-11,True
1,1,11,4,2,2.1369364719744922e-16,1.971641882752751,,0.29175792144875096,0.664029841395765,1.290523243824282e-12,True
1,1,29,4,2,-1.0680176071489214e-16,1.9527255547116815,,0.6327334155140388,0.7119691355128751,1.7341683644644945e-12,True
1,1,53,4,2,-2.8928156284994723e-16,1.9973259524085871,,0.08612721948761841,0.15521056851034243,3.318678665209518e-12,True
1,1,83,4,2,3.474340156227414e-16,1.9995194376493424,,0.27360790260561857,0.9607813199837149,2.4424906541753444e-15,True
1,2,2,8,2,-4.1237538120888866e-16,3.536934676802833,,0.760570841114262,0.5065972950639746,1.0730571986528048e-10,True
1,2,11,8,2,-2.1180921517318665e-16,3.217895197159634,,0.6071395092964321,0.7395229184949352,1.6209256159527285e-14,True
1,2,29,8,2,-5.733622117046191e-16,3.6195971777377753,,0.9114735489382901,0.4423902592318535,1.3322676295501878e-14,True
1,2,53,8,2,-1.6780904212847973e-17,3.4577049812855507,,0.7989273111956157,0.44101011030757786,2.1760371282653068e-14,True
1,2,83,8,2,-1.465214940571117e-16,3.885571537116822,,0.4740168584617587,0.9370034641104177,3.552713678800501e-15,True
2,1,2,8,5,-3.4142793096599256e-16,2.2068350286342966,0.7840455597639456,0.3252182246203652,0.8517904772586277,0.1417553922038738,True
2,1,11,8,5,-6.228210843332303e-17,1.8754095788353582,0.07534522027567726,0.2975764059031201,0.8909177458060844,0.032863034200602215,True
2,1,29,8,5,5.421633123630579e-20,2.1015702557736518,0.31116646983783314,0.2353359299826386,0.851951783892812,0.23338265362177724,True
2,1,53,8,5,-2.023443382545265e-17,1.6945878956880418,0.43816286090314144,0.5274284501270221,0.43068462322227175,2.1453964249573687e-07,True
2,1,83,8,5,-1.2330186120888761e-16,1.970654155108139,0.08389584166819936,0.08120289545474814,0.9913745107232818,0.008730480102011606,True
2,2,2,16,6,-3.41021552337509e-16,3.245766176625125,0.13998625354986538,0.09004948093642302,0.9925914486421382,6.767919558114954e-13,True
2,2,11,16,6,-4.183897881719484e-16,4.573873203186628,0.6509869765581467,0.47698316965184157,0.7935530680734602,2.4782398355682744e-12,True
2,2,29,16,6,-5.151604245986364e-16,4.179851028549414,0.9711645228873856,0.5614284141206806,0.6826085489180465,2.6818325338240356e-11,True
2,2,53,16,6,-3.4510302611080926e-16,3.159433768668376,0.6345787290770195,0.5220633949669601,0.8773838352053339,4.629852057291828e-12,True
2,2,83,16,6,-5.345703691764472e-16,3.9126440176493054,0.6190675219907197,0.17886279560822751,0.9808316399121015,1.5456058655161087e-10,True
3,1,2,12,9,-1.2505364367300389e-16,2.148316441176502,,0.07430101782821907,0.9773023323304559,0.2019455043264884,True
3,1,11,12,9,-3.730749446226366e-17,1.9034890724388278,,0.28895218353992136,0.8662804596825082,0.22434513753865581,True
3,1,29,12,9,-8.514534278622987e-17,1.9404704950486216,,0.36417968854888355,0.6728259114638975,0.12028468185559527,True
3,1,53,12,9,8.9949550727019e-17,2.130924524162898,,0.06345795689667369,0.994186249835039,0.18551501616343657,True
3,1,83,12,9,-2.55738662179742e-16,2.0044773408569005,,0.25509996458213013,0.8323687426076126,0.21758675737731892,True
