cutoff,peak_width,shots,decoder,hilbert_dimension,retained_norm,region,supported,reasons
8,0.75,,nearest,36,,unconverged/resource-rejected,True,['Fock truncation norm 0.95978977; increase cutoff=8']
8,0.9,,nearest,36,,unconverged/resource-rejected,True,['Fock truncation norm 0.96187017; increase cutoff=8']
8,1.05,,nearest,36,,unconverged/resource-rejected,True,['Fock truncation norm 0.95654365; increase cutoff=8']
12,0.75,,nearest,78,,unconverged/resource-rejected,True,['Fock truncation norm 0.99369232; increase cutoff=12']
12,0.9,,nearest,78,,unconverged/resource-rejected,True,['Fock truncation norm 0.9936769; increase cutoff=12']
12,1.05,,nearest,78,,unconverged/resource-rejected,True,['Fock truncation norm 0.99125409; increase cutoff=12']
16,0.75,,nearest,136,0.9991323492010656,acceptable,True,[]
16,0.9,,nearest,136,0.9991058893243037,acceptable,True,[]
16,1.05,,nearest,136,,unconverged/resource-rejected,True,['Fock truncation norm 0.99843903; increase cutoff=16']
20,0.75,,nearest,210,0.9997920299811629,acceptable,True,[]
20,0.9,,nearest,210,0.9998800964574989,acceptable,True,[]
20,1.05,,nearest,210,0.9996547420844168,acceptable,True,[]
24,0.75,,nearest,300,0.9999449165421896,acceptable,True,[]
24,0.9,,nearest,300,0.9999814752633133,acceptable,True,[]
24,1.05,,nearest,300,0.999936249484901,acceptable,True,[]
28,0.75,,nearest,406,0.9999850968924824,acceptable,True,[]
28,0.9,,nearest,406,0.9999958216198981,acceptable,True,[]
28,1.05,,nearest,406,0.9999878611164168,acceptable,True,[]
,,,,,,unsupported,False,['loss_channel is not implemented by the audited physical path']
,,,,,,unsupported,False,['detector_inefficiency is not implemented by the audited physical path']
,,,,,,unsupported,False,['arbitrary physical angle is not implemented by the audited physical path']
,,,,,,unsupported,False,['soft adaptive decoder is not implemented by the audited physical path']
