pipeline,size,size_unit,median_seconds,iqr_seconds,peak_python_bytes,repetitions,warmups
logical,1,wires,0.001231800066307187,0.0003714999766089022,7192,3,1
logical,2,wires,0.0006874999962747097,0.0002077000099234283,7248,3,1
logical,3,wires,0.001626199926249683,0.0004359500017017126,7520,3,1
kernel,20,samples,0.023244100040756166,0.00089414999820292,17644,3,1
kernel,40,samples,0.04988229996524751,0.009934699977748096,41868,3,1
kernel,80,samples,0.09023719991091639,0.01315530005376786,159584,3,1
training,5,epochs,0.0012969999806955457,0.00040045008063316345,3312,3,1
training,10,epochs,0.002640599966980517,0.0005160500295460224,3504,3,1
training,20,epochs,0.009114300017245114,0.001576300011947751,3720,3,1
physical_and_decoding,20,cutoff,2.184696249954868,0.17684234998887405,432063,2,1
physical_and_decoding,24,cutoff,2.5334916000138037,0.016193299961742014,491712,2,1
artifact_serialization,10,row_blocks,0.0033301999792456627,0.0017870001029223204,31746,5,1
artifact_serialization,100,row_blocks,0.034658199991099536,0.00420930003747344,354070,5,1
artifact_serialization,1000,row_blocks,0.3870967999100685,0.01258459989912808,4020772,5,1
