n_wires,n_layers,one_column,n_nodes,seed,skipped,density_matrix_error,branch_probability
1,1,True,5,0,False,2.273786106096902e-16,0.0624999999999999
1,1,True,5,1,False,8.994662104450107e-16,0.06249999999999991
1,1,True,5,2,False,2.969969134149246e-16,0.062499999999999944
1,1,True,5,3,False,5.616285672668959e-16,0.0624999999999999
1,3,True,13,0,False,1.8925429821784087e-15,0.00024414062499999883
1,3,True,13,1,False,1.6090370598202176e-15,0.00024414062499999886
1,3,True,13,2,False,1.615244608115357e-15,0.000244140624999999
1,3,True,13,3,False,2.1095226490260947e-15,0.00024414062499999864
2,1,True,10,0,False,8.084387950199398e-16,0.0039062499999999874
2,1,True,10,1,False,9.820890880164723e-16,0.0039062499999999883
2,1,True,10,2,False,8.78016360745188e-16,0.0039062499999999866
2,1,True,10,3,False,2.194541560958827e-15,0.0039062499999999857
2,1,False,18,0,False,2.216676308539019e-15,1.5258789062499905e-05
2,1,False,18,1,False,2.2765192392716336e-15,1.5258789062499912e-05
2,1,False,18,2,False,2.2405964135179623e-15,1.5258789062499886e-05
2,1,False,18,3,False,3.919921279333596e-15,1.52587890624999e-05
2,2,True,18,0,False,2.4568937418001337e-15,1.5258789062499902e-05
2,2,True,18,1,False,2.5045242995727888e-15,1.5258789062499907e-05
2,2,True,18,2,False,1.9768505211403245e-15,1.525878906249991e-05
2,2,True,18,3,False,3.6242849681393884e-15,1.5258789062499886e-05
3,1,True,15,0,False,1.5532959846426024e-15,0.00024414062499999886
3,1,True,15,1,False,1.621915350957079e-15,0.00024414062499999892
3,1,True,15,2,False,1.6465148454927607e-15,0.00024414062499999892
3,1,True,15,3,False,2.7343866133256672e-15,0.00024414062499999892
