n_wires,n_layers,one_column,seed,density_matrix_error
1,1,True,0,6.663795460745927e-16
1,1,True,1,1.054715822678618e-15
1,1,True,2,7.771582541592548e-16
1,1,True,3,1.3322784775864366e-15
1,1,True,4,8.88339006254709e-16
1,1,True,5,5.55115951527249e-16
1,1,True,6,7.780019337712381e-16
1,1,True,7,8.881937752380755e-16
1,3,True,0,2.1094425187022826e-15
1,3,True,1,2.6789522848988178e-15
1,3,True,2,9.639819490876587e-16
1,3,True,3,3.2196515309217207e-15
1,3,True,4,9.437007768056663e-16
1,3,True,5,1.4433147369492833e-15
1,3,True,6,1.003264240958173e-15
1,3,True,7,1.2212475148722392e-15
2,1,True,0,7.771962665027002e-16
2,1,True,1,1.5144602902587968e-15
2,1,True,2,6.10683850325438e-16
2,1,True,3,1.4433519100487287e-15
2,1,True,4,3.0019679205109363e-15
2,1,True,5,7.771563302584469e-16
2,1,True,6,1.6655307031625431e-15
2,1,True,7,9.992008493690817e-16
2,1,False,0,9.710485573708405e-16
2,1,False,1,2.234280737922546e-15
2,1,False,2,2.3314931514096563e-15
2,1,False,3,2.1094620062480417e-15
2,1,False,4,3.2196799700676353e-15
2,1,False,5,1.1657681754889474e-15
2,1,False,6,1.4433409438213185e-15
2,1,False,7,8.326673223421093e-16
2,2,True,0,1.3322708882223577e-15
2,2,True,1,1.7208571568701364e-15
2,2,True,2,1.7100678429692722e-15
2,2,True,3,2.3592251334079513e-15
2,2,True,4,9.243065094059316e-16
2,2,True,5,7.216893345961396e-16
2,2,True,6,1.9984166524376576e-15
2,2,True,7,1.6098236173235053e-15
3,1,True,0,1.0547251129537323e-15
3,1,True,1,1.7388818282700987e-15
3,1,True,2,6.77599954797753e-16
3,1,True,3,1.1102375128018988e-15
3,1,True,4,3.4416956180491725e-15
3,1,True,5,4.996007632745705e-16
3,1,True,6,8.882202334357675e-16
3,1,True,7,8.88183527281953e-16
